scenario,config,rep,avg_jct,tail_jct_p95,max_jct,min_jct,makespan,avg_ilt
48_normal,default,1,350.5562500000456,487.2000000000765,494.50000000007816,100.69999999999642,494.50000000007816,0.013829787234042554
48_normal,custom_baseline,1,306.3281250000373,467.15000000007194,474.8500000000737,21.55000000000017,474.8500000000737,1.0234042553191351
48_normal,custom_adaptive,1,171.36666666668242,381.80000000005253,392.05000000005487,10.85000000000002,392.05000000005487,5.096808510638733
48_normal,reversed,1,369.6906250000498,488.9000000000769,492.20000000007764,142.6999999999982,492.20000000007764,1.0234042553191351
48_normal,default,2,311.75729166670374,462.0500000000708,468.7000000000723,95.24999999999673,468.7000000000723,0.013829787234042554
48_normal,custom_baseline,2,267.3562500000314,441.4500000000661,448.4500000000677,8.499999999999986,448.4500000000677,1.0234042553191351
48_normal,custom_adaptive,2,155.27916666668025,368.9500000000496,375.6000000000511,7.349999999999982,375.6000000000511,4.806382978723773
48_normal,reversed,2,332.29479166670797,463.70000000007116,468.95000000007235,135.99999999999667,468.95000000007235,1.0234042553191351
48_normal,default,3,314.7177083333709,458.40000000006995,467.25000000007196,102.64999999999631,467.25000000007196,0.012765957446808512
48_normal,custom_baseline,3,271.14062500003183,438.95000000006553,447.35000000006744,14.350000000000069,447.35000000006744,1.0234042553191351
48_normal,custom_adaptive,3,150.6031250000121,358.60000000004726,372.10000000005033,9.399999999999999,372.10000000005033,4.9351063829791215
48_normal,reversed,3,336.3062500000422,457.8500000000698,467.8500000000721,147.0499999999992,467.8500000000721,1.0234042553191351
48_normal,default,4,318.48750000003884,475.4500000000738,483.90000000007575,97.4499999999966,483.90000000007575,0.012765957446808512
48_normal,custom_baseline,4,276.22916666669977,456.3500000000695,463.8000000000712,18.250000000000124,463.8000000000712,1.0234042553191351
48_normal,custom_adaptive,4,168.00833333334975,385.5500000000534,395.05000000005555,10.300000000000011,395.05000000005555,4.7638297872344015
48_normal,reversed,4,339.0781250000428,474.4000000000736,485.20000000007605,134.7999999999964,485.20000000007605,1.0234042553191351
